Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD),Duration
144615582,09/05/2023 10:50,09/21/2023 10:37,USDCHF,Sell,0.100,0.00000,0.00000,0.88672,0.90644,0.0000,0.0,-197.2,-218.66,-4.06,Sell Baby Termite: USDCHF,12345.0,0.0,0s,200.0,200.0,0.0,0.0,-200.0,-222.00000000000003,0.0,1.4,-197.2,-218.89,15 days 23:47:40
144948350,09/20/2023 03:35,09/21/2023 08:48,NZDCHF,Sell,0.300,0.00000,0.00000,0.53389,0.53146,0.0000,0.0,24.3,80.64,1.52,Sell Baby Termite: NZDCHF,12345.0,69.2,20h 13m,28.1,0.54,26.9,89.30799999999999,-14.5,-48.14,65.0,93.7,-2.6,-8.63,1 days 05:13:33
144720632,09/11/2023 03:15,09/21/2023 08:48,NZDCHF,Sell,0.100,0.00000,0.00000,0.52611,0.53146,0.0000,0.0,-53.5,-59.78,-1.11,Sell Baby Termite: NZDCHF,12345.0,4.3,10h 33m,101.6,9.7,9.5,10.64,-92.1,-103.152,9.4,38.0,-63.0,-70.56,10 days 05:33:32
144818540,09/14/2023 15:20,09/14/2023 15:31,CADCHF,Sell,0.300,0.00000,0.00000,0.66067,0.66276,0.0000,0.0,-20.9,-70.28,-1.35,Sell Baby Termite: CADCHF,12345.0,8.4,56s,21.6,29.94,0.7,2.352,-20.9,-70.22399999999999,3.2,0.0,-21.6,-72.58,0 days 00:11:16
144531911,08/31/2023 10:45,09/14/2023 15:31,CADCHF,Sell,0.100,0.00000,0.00000,0.64981,0.66278,0.0000,0.0,-129.7,-145.38,-2.71,Sell Baby Termite: CADCHF,12345.0,0.7,2h 23m,134.9,25.0,5.2,5.824000000000001,-129.7,-145.264,3.9,0.0,-134.9,-151.09,14 days 04:46:13
144455688,08/29/2023 08:40,09/05/2023 10:25,NZDCHF,Sell,0.100,0.00000,0.00000,0.52320,0.52129,0.0000,0.0,19.1,21.43,0.4,Sell Baby Termite: NZDCHF,12345.0,10.7,18h 9m,72.3,2.56,21.2,23.744,-54.3,-60.816,28.1,97.2,-2.1,-2.35,7 days 01:45:36
144537366,08/31/2023 15:40,09/01/2023 15:32,USDCHF,Sell,0.100,0.00000,0.00000,0.88241,0.88049,0.0000,0.0,19.2,21.7,0.41,Sell Baby Termite: USDCHF,12345.0,14.3,3h 24m,32.8,0.81,24.6,27.798,-20.0,-22.6,55.2,87.9,-5.4,-6.1,0 days 23:52:04
144367842,08/24/2023 11:35,08/30/2023 15:30,USDCHF,Sell,0.100,0.00000,0.00000,0.87937,0.87751,0.0000,0.0,18.6,21.09,0.41,Sell Baby Termite: USDCHF,12345.0,10.9,16h 7m,76.0,4.09,18.6,21.018,-76.0,-85.88,19.7,100.0,0.0,0.0,6 days 03:55:35
144308769,08/22/2023 15:40,08/30/2023 15:30,EURUSD,Buy,0.100,0.00000,0.00000,1.08809,1.09026,0.0000,0.0,21.7,21.7,0.42,Buy Baby Termite: EURUSD,12345.0,3.2,6h 8m,109.8,3.67,29.9,29.9,-109.8,-109.8,21.4,94.1,-8.2,-8.2,7 days 23:50:10
144398271,08/25/2023 08:45,08/29/2023 13:00,EURNZD,Sell,0.100,0.00000,0.00000,1.82677,1.82329,0.0000,0.0,34.8,20.54,0.4,Sell Baby Termite: EURNZD,12345.0,65.9,2d 18h ,103.1,1.79,38.1,22.479,-68.2,-40.238,35.8,96.9,-3.3,-1.95,4 days 04:15:34
144276607,08/21/2023 11:15,08/24/2023 15:44,CADCHF,Buy,0.100,0.00000,0.00000,0.64996,0.65178,0.0000,0.0,18.2,20.49,0.4,Buy Baby Termite: CADCHF,12345.0,15.7,12h 0m,51.7,2.02,18.5,20.905,-37.4,-42.26199999999999,33.1,99.5,-0.3,-0.34,3 days 04:29:34
144228685,08/17/2023 15:40,08/17/2023 18:24,USDCHF,Buy,0.100,0.00000,0.00000,0.87725,0.87905,0.0000,0.0,18.0,20.37,0.4,Buy Baby Termite: USDCHF,12345.0,65.5,1h 48m,12.4,0.56,18.7,21.131,-10.5,-11.864999999999998,64.0,97.6,-0.7,-0.79,0 days 02:44:54
144193342,08/16/2023 10:40,08/16/2023 18:09,NZDCHF,Sell,0.100,0.00000,0.00000,0.52527,0.52347,0.0000,0.0,18.0,20.38,0.4,Sell Baby Termite: NZDCHF,12345.0,74.0,5h 32m,12.3,0.53,20.6,23.278,-11.0,-12.43,65.2,91.8,-2.6,-2.94,0 days 07:29:51
144196961,08/16/2023 15:25,08/16/2023 17:20,CADCHF,Sell,0.100,0.00000,0.00000,0.65253,0.65074,0.0000,0.0,17.9,20.26,0.4,Sell Baby Termite: CADCHF,12345.0,94.0,1h 48m,8.5,0.06,20.8,23.504,-1.2,-1.356,94.5,86.8,-2.9,-3.28,0 days 01:54:54
144197486,08/16/2023 15:35,08/16/2023 16:38,USDCHF,Sell,0.100,0.00000,0.00000,0.88019,0.87839,0.0000,0.0,18.0,20.39,0.4,Sell Baby Termite: USDCHF,12345.0,28.2,17m,10.5,0.56,18.8,21.244,-10.5,-11.864999999999998,64.2,97.3,-0.8,-0.9,0 days 01:03:08
144166904,08/15/2023 12:30,08/16/2023 15:25,CADCHF,Buy,0.270,0.00000,0.00000,0.64948,0.65256,0.0000,0.0,30.8,93.95,1.89,Buy Baby Termite: CADCHF,12345.0,94.2,1d 1h ,22.0,0.28,30.8,93.94,-8.6,-26.23,78.2,100.0,0.0,0.0,1 days 02:55:26
143831294,08/01/2023 09:00,08/16/2023 15:25,CADCHF,Buy,0.090,0.00000,0.00000,0.65976,0.65256,0.0000,0.0,-72.0,-73.94,-1.47,Buy Baby Termite: CADCHF,12345.0,2.0,7h 19m,116.1,15.85,6.9,7.107,-109.2,-112.476,5.9,32.0,-78.9,-81.27,15 days 06:25:26
144134901,08/14/2023 05:00,08/14/2023 17:58,NZDCHF,Buy,0.090,0.00000,0.00000,0.52358,0.52545,0.0000,0.0,18.7,19.04,0.4,Buy Baby Termite: NZDCHF,12345.0,57.3,7h 26m,11.5,0.47,21.5,21.93,-10.0,-10.2,68.3,91.1,-2.8,-2.86,0 days 12:58:30
144058374,08/09/2023 14:35,08/10/2023 10:17,USDCHF,Sell,0.090,0.00000,0.00000,0.87654,0.87461,0.0000,0.0,19.3,19.76,0.42,Sell Baby Termite: USDCHF,12345.0,21.7,4h 16m,24.1,0.86,19.3,19.686,-16.6,-16.932000000000002,53.8,100.0,0.0,0.0,0 days 19:42:01
144029966,08/08/2023 13:35,08/09/2023 09:38,EURUSD,Buy,0.090,0.00000,0.00000,1.09579,1.09787,0.0000,0.0,20.8,18.72,0.4,Buy Baby Termite: EURUSD,12345.0,40.3,8h 5m,21.6,1.02,20.8,18.72,-21.3,-19.17,49.4,100.0,0.0,0.0,0 days 20:03:49
144030919,08/08/2023 14:25,08/08/2023 19:32,USDCHF,Sell,0.090,0.00000,0.00000,0.87698,0.87511,0.0000,0.0,18.7,19.14,0.41,Sell Baby Termite: USDCHF,12345.0,52.8,2h 42m,18.1,0.63,19.4,19.788,-12.2,-12.444,61.4,97.8,-0.7,-0.71,0 days 05:07:55
143993899,08/07/2023 04:50,08/08/2023 04:21,NZDCHF,Sell,0.090,0.00000,0.00000,0.53391,0.53204,0.0000,0.0,18.7,19.16,0.41,Sell Baby Termite: NZDCHF,12345.0,69.6,16h 22m,18.0,0.46,21.3,21.726000000000003,-9.8,-9.996,68.5,91.6,-2.6,-2.65,0 days 23:31:25
143981400,08/04/2023 18:15,08/04/2023 21:43,EURUSD,Sell,0.090,0.00000,0.00000,1.10343,1.10135,0.0000,0.0,20.8,18.72,0.4,Sell Baby Termite: EURUSD,12345.0,48.9,1h 42m,9.9,0.83,8.4,7.56,-7.0,-6.3,54.5,180.5,12.4,11.16,0 days 03:28:57
143881127,08/02/2023 17:05,08/02/2023 17:47,USDCHF,Sell,0.090,0.00000,0.00000,0.88001,0.87816,0.0000,0.0,18.5,18.86,0.41,Sell Baby Termite: USDCHF,12345.0,55.9,23m,7.5,0.22,19.4,19.788,-4.3,-4.386,81.9,96.2,-0.9,-0.92,0 days 00:42:09
143798744,07/31/2023 07:25,08/02/2023 01:47,NZDCHF,Sell,0.080,0.00000,0.00000,0.53906,0.53703,0.0000,0.0,20.3,18.5,0.4,Sell Baby Termite: NZDCHF,12345.0,35.4,15h 0m,36.1,0.94,28.7,26.117,-26.9,-24.479,51.6,84.9,-8.4,-7.64,1 days 18:22:32
143773407,07/28/2023 15:35,07/28/2023 16:08,USDCHF,Buy,0.080,0.00000,0.00000,0.86763,0.86959,0.0000,0.0,19.6,17.94,0.4,Buy Baby Termite: USDCHF,12345.0,100.0,33m,10.1,0.05,19.6,18.032000000000004,0.0,0.0,100.0,100.0,0.0,0.0,0 days 00:33:24
143728737,07/27/2023 16:35,07/28/2023 05:06,NZDCHF,Sell,0.080,0.00000,0.00000,0.53811,0.53616,0.0000,0.0,19.5,17.85,0.4,Sell Baby Termite: NZDCHF,12345.0,77.8,9h 44m,18.0,0.5,23.0,21.16,-11.4,-10.488,66.9,89.8,-3.5,-3.22,0 days 12:31:07
143711376,07/27/2023 07:35,07/27/2023 11:17,NZDCHF,Sell,0.080,0.00000,0.00000,0.53765,0.53575,0.0000,0.0,19.0,17.66,0.4,Sell Baby Termite: NZDCHF,12345.0,89.7,3h 19m,10.3,0.08,21.3,19.809,-1.8,-1.6740000000000002,92.2,90.0,-2.3,-2.14,0 days 03:42:45
143564854,07/20/2023 11:30,07/26/2023 15:50,CADCHF,Sell,0.080,0.00000,0.00000,0.65369,0.65178,0.0000,0.0,19.1,17.63,0.4,Sell Baby Termite: CADCHF,12345.0,36.8,2d 6h ,75.0,3.39,20.5,18.86,-69.4,-63.848000000000006,22.8,98.4,-1.4,-1.29,6 days 04:20:21
143654111,07/25/2023 14:15,07/26/2023 13:30,EURUSD,Buy,0.240,0.00000,0.00000,1.10429,1.10809,0.0000,0.0,38.0,91.2,2.11,Buy Baby Termite: EURUSD,12345.0,78.5,18h 15m,28.9,0.49,41.2,98.88,-20.3,-48.72,67.0,94.8,-3.2,-7.68,0 days 23:15:17
143572380,07/20/2023 17:10,07/26/2023 13:30,EURUSD,Buy,0.080,0.00000,0.00000,1.11688,1.10809,0.0000,0.0,-87.9,-70.32,-1.6,Buy Baby Termite: EURUSD,12345.0,0.0,0s,142.1,142.86,0.0,0.0,-142.1,-113.68,0.0,38.1,-87.9,-70.32,5 days 20:20:18
143602375,07/21/2023 16:50,07/24/2023 10:36,NZDCHF,Buy,0.080,0.00000,0.00000,0.53499,0.53687,0.0000,0.0,18.8,17.24,0.39,Buy Baby Termite: NZDCHF,12345.0,3.6,2h 22m,25.2,1.06,21.3,19.596,-22.5,-20.7,48.6,94.3,-2.5,-2.3,2 days 17:46:37
143578702,07/20/2023 20:10,07/21/2023 03:11,USDCHF,Sell,0.080,0.00000,0.00000,0.86806,0.86617,0.0000,0.0,18.9,17.37,0.4,Sell Baby Termite: USDCHF,12345.0,97.0,6h 48m,5.0,0.14,19.7,18.124,-2.8,-2.576,87.6,96.4,-0.8,-0.74,0 days 07:01:15
143561097,07/20/2023 06:00,07/20/2023 10:41,USDCHF,Buy,0.080,0.00000,0.00000,0.85641,0.85830,0.0000,0.0,18.9,17.53,0.4,Buy Baby Termite: USDCHF,12345.0,64.6,3h 1m,11.7,0.14,20.9,19.437,-2.9,-2.697,87.8,91.6,-2.0,-1.86,0 days 04:41:29
143560225,07/20/2023 05:10,07/20/2023 10:39,EURUSD,Sell,0.080,0.00000,0.00000,1.12254,1.12037,0.0000,0.0,21.7,17.36,0.4,Sell Baby Termite: EURUSD,12345.0,83.9,4h 36m,14.2,0.1,26.4,21.12,-2.7,-2.16,90.7,83.8,-4.7,-3.76,0 days 05:29:12
143526418,07/19/2023 07:15,07/19/2023 09:46,NZDCHF,Buy,0.240,0.00000,0.00000,0.53746,0.53497,0.0000,0.0,-24.9,-69.91,-1.59,Buy Baby Termite: NZDCHF,12345.0,0.7,1m,25.1,125.0,0.2,0.562,-24.9,-69.969,0.8,0.0,-25.1,-70.53,0 days 02:31:49
143472374,07/17/2023 07:15,07/19/2023 09:46,NZDCHF,Buy,0.080,0.00000,0.00000,0.54692,0.53496,0.0000,0.0,-119.6,-111.93,-2.48,Buy Baby Termite: NZDCHF,12345.0,2.0,1h 0m,121.1,80.0,1.5,1.41,-119.6,-112.424,1.2,0.0,-121.1,-113.83,2 days 02:31:41
143506701,07/18/2023 16:05,07/18/2023 16:51,EURNZD,Sell,0.240,0.00000,0.00000,1.79237,1.78966,0.0000,0.0,27.1,40.58,0.91,Sell Baby Termite: EURNZD,12345.0,57.5,26m,7.9,0.22,32.0,48.0,-6.9,-10.35,82.3,87.4,-4.9,-7.35,0 days 00:46:51
143501330,07/18/2023 12:05,07/18/2023 16:51,EURNZD,Sell,0.080,0.00000,0.00000,1.78539,1.78965,0.0000,0.0,-42.6,-21.48,-0.48,Sell Baby Termite: EURNZD,12345.0,4.2,12m,82.3,13.7,5.6,2.8,-76.7,-38.35,6.8,41.4,-48.2,-24.1,0 days 04:46:51
143482822,07/17/2023 17:55,07/18/2023 04:24,CADCHF,Sell,0.080,0.00000,0.00000,0.65347,0.65156,0.0000,0.0,19.1,17.7,0.4,Sell Baby Termite: CADCHF,12345.0,95.9,10h 3m,11.5,0.1,26.3,24.459000000000003,-2.7,-2.511,90.7,75.2,-7.2,-6.7,0 days 10:28:54
143453934,07/14/2023 16:10,07/17/2023 06:43,NZDCHF,Sell,0.080,0.00000,0.00000,0.54887,0.54694,0.0000,0.0,19.3,17.84,0.4,Sell Baby Termite: NZDCHF,12345.0,88.2,2d 7h ,25.4,0.5,25.7,23.644,-12.8,-11.776000000000002,66.8,83.4,-6.4,-5.89,2 days 14:33:36
143417366,07/13/2023 08:50,07/14/2023 18:51,EURNZD,Buy,0.080,0.00000,0.00000,1.75950,1.76288,0.0000,0.0,33.8,17.15,0.41,Buy Baby Termite: EURNZD,12345.0,16.4,5h 34m,91.9,2.36,37.0,18.87,-87.3,-44.523,29.8,97.4,-3.2,-1.63,1 days 10:01:40
143455870,07/14/2023 17:05,07/14/2023 17:44,USDCHF,Sell,0.080,0.00000,0.00000,0.86262,0.86083,0.0000,0.0,17.9,16.56,0.4,Sell Baby Termite: USDCHF,12345.0,100.0,39m,6.4,0.05,18.8,17.484,0.0,0.0,100.0,95.2,-0.9,-0.84,0 days 00:39:46
143378251,07/12/2023 04:00,07/14/2023 05:03,EURUSD,Sell,0.080,0.00000,0.00000,1.10182,1.12358,0.0000,0.0,-217.6,-174.08,-4.0,Sell Baby Termite: EURUSD,12345.0,2.0,58m,221.1,62.5,3.5,2.8000000000000003,-217.6,-174.08,1.6,0.0,-221.1,-176.88,2 days 01:03:27
143322928,07/10/2023 07:45,07/12/2023 16:29,EURNZD,Sell,0.080,0.00000,0.00000,1.77194,1.76837,0.0000,0.0,35.7,17.81,0.41,Sell Baby Termite: EURNZD,12345.0,31.8,18h 2m,137.4,2.67,38.6,19.3,-103.2,-51.6,27.2,98.0,-2.9,-1.45,2 days 08:44:20
143385276,07/12/2023 10:40,07/12/2023 16:00,CADCHF,Buy,0.240,0.00000,0.00000,0.66396,0.66130,0.0000,0.0,-26.6,-73.35,-1.67,Buy Baby Termite: CADCHF,12345.0,84.4,4h 30m,45.8,3.58,10.0,27.6,-35.8,-98.80799999999998,21.8,20.1,-36.6,-101.02,0 days 05:20:50
143226802,07/06/2023 17:05,07/12/2023 16:00,CADCHF,Buy,0.080,0.00000,0.00000,0.67316,0.66131,0.0000,0.0,-118.5,-108.92,-2.41,Buy Baby Termite: CADCHF,12345.0,0.0,0s,127.0,128.21,0.0,0.0,-127.0,-116.84,0.0,6.7,-118.5,-109.02,5 days 22:55:53
143386280,07/12/2023 12:15,07/12/2023 15:32,NZDCHF,Buy,0.080,0.00000,0.00000,0.54410,0.54606,0.0000,0.0,19.6,17.82,0.4,Buy Baby Termite: NZDCHF,12345.0,12.9,25m,24.6,1.19,19.6,17.836000000000002,-23.4,-21.294,45.6,100.0,0.0,0.0,0 days 03:17:22
143323360,07/10/2023 08:30,07/10/2023 12:11,USDCHF,Sell,0.080,0.00000,0.00000,0.89116,0.88911,0.0000,0.0,20.5,18.35,0.41,Sell Baby Termite: USDCHF,12345.0,87.4,3h 13m,14.9,0.18,22.1,19.89,-4.0,-3.6,84.7,93.9,-1.6,-1.44,0 days 03:41:33
143221583,07/06/2023 15:10,07/06/2023 15:15,EURUSD,Sell,0.080,0.00000,0.00000,1.08982,1.08758,0.0000,0.0,22.4,17.92,0.4,Sell Baby Termite: EURUSD,12345.0,50.0,2m,1.0,0.04,22.4,17.919999999999998,-1.0,-0.8,95.7,100.0,0.0,0.0,0 days 00:05:21
143216831,07/06/2023 10:25,07/06/2023 11:17,EURUSD,Sell,0.080,0.00000,0.00000,1.08718,1.08498,0.0000,0.0,22.0,17.6,0.4,Sell Baby Termite: EURUSD,12345.0,98.1,51m,6.8,0.02,22.2,17.76,-0.5,-0.4,97.8,99.1,-0.2,-0.16,0 days 00:52:56
143131989,07/03/2023 11:05,07/06/2023 08:58,CADCHF,Sell,0.080,0.00000,0.00000,0.67737,0.67535,0.0000,0.0,20.2,17.91,0.4,Sell Baby Termite: CADCHF,12345.0,64.0,1d 20h ,28.2,0.63,23.3,20.737,-14.6,-12.994,61.5,91.8,-3.1,-2.76,2 days 21:52:58
143132578,07/03/2023 12:10,07/03/2023 16:33,USDCHF,Sell,0.080,0.00000,0.00000,0.89904,0.89704,0.0000,0.0,20.0,17.75,0.42,Sell Baby Termite: USDCHF,12345.0,39.2,1h 43m,12.9,0.62,20.2,17.977999999999998,-12.5,-11.125,61.8,99.4,-0.2,-0.18,0 days 04:23:20
143080820,06/30/2023 12:45,06/30/2023 15:30,CADCHF,Sell,0.080,0.00000,0.00000,0.67973,0.67775,0.0000,0.0,19.8,17.53,0.41,Sell Baby Termite: CADCHF,12345.0,74.6,2h 3m,9.5,0.27,19.8,17.622,-5.3,-4.717,78.9,100.0,0.0,0.0,0 days 02:45:22
143081913,06/30/2023 13:00,06/30/2023 15:30,USDCHF,Sell,0.080,0.00000,0.00000,0.90156,0.89937,0.0000,0.0,21.9,19.39,0.46,Sell Baby Termite: USDCHF,12345.0,96.7,2h 25m,8.9,0.02,23.1,20.559,-0.4,-0.356,98.3,94.9,-1.2,-1.07,0 days 02:30:07
142981059,06/28/2023 10:15,06/30/2023 11:09,NZDCHF,Buy,0.080,0.00000,0.00000,0.54604,0.54784,0.0000,0.0,18.0,15.91,0.38,Buy Baby Termite: NZDCHF,12345.0,18.8,9h 11m,20.6,0.95,19.2,16.896,-18.2,-16.016,51.3,96.8,-1.2,-1.06,2 days 00:54:19
143017330,06/29/2023 07:15,06/29/2023 10:17,EURUSD,Buy,0.080,0.00000,0.00000,1.08915,1.09126,0.0000,0.0,21.1,16.88,0.4,Buy Baby Termite: EURUSD,12345.0,47.6,1h 26m,10.4,0.46,22.7,18.16,-10.4,-8.32,68.6,95.2,-1.6,-1.28,0 days 03:02:20
142981701,06/28/2023 11:10,06/28/2023 17:43,EURNZD,Sell,0.080,0.00000,0.00000,1.79653,1.79308,0.0000,0.0,34.5,16.73,0.4,Sell Baby Termite: EURNZD,12345.0,8.7,34m,57.1,0.89,45.5,21.84,-40.3,-19.344,53.0,87.2,-11.0,-5.28,0 days 06:33:13
142951694,06/27/2023 14:50,06/27/2023 16:19,EURNZD,Sell,0.080,0.00000,0.00000,1.77479,1.77143,0.0000,0.0,33.6,16.56,0.4,Sell Baby Termite: EURNZD,12345.0,97.8,1h 27m,19.2,0.05,36.3,17.787,-1.8,-0.882,95.3,92.9,-2.7,-1.32,0 days 01:29:08
142882170,06/23/2023 09:05,06/27/2023 13:55,EURUSD,Buy,0.080,0.00000,0.00000,1.09294,1.09503,0.0000,0.0,20.9,16.72,0.4,Buy Baby Termite: EURUSD,12345.0,4.6,4h 38m,81.5,3.58,22.6,18.08,-80.9,-64.72000000000001,21.8,98.4,-1.7,-1.36,4 days 04:50:32
142944726,06/27/2023 08:15,06/27/2023 12:13,NZDCHF,Sell,0.080,0.00000,0.00000,0.55382,0.55203,0.0000,0.0,17.9,15.92,0.39,Sell Baby Termite: NZDCHF,12345.0,53.0,2h 6m,8.9,0.35,20.5,18.245,-7.2,-6.408,74.0,90.6,-2.6,-2.31,0 days 03:58:22
142944725,06/27/2023 08:15,06/27/2023 11:08,EURNZD,Buy,0.080,0.00000,0.00000,1.76501,1.76835,0.0000,0.0,33.4,16.45,0.4,Buy Baby Termite: EURNZD,12345.0,48.6,1h 24m,18.7,0.33,39.3,19.257,-13.1,-6.419,75.0,88.7,-5.9,-2.89,0 days 02:53:19
142917245,06/26/2023 14:10,06/26/2023 17:11,USDCHF,Buy,0.080,0.00000,0.00000,0.89259,0.89443,0.0000,0.0,18.4,16.38,0.4,Buy Baby Termite: USDCHF,12345.0,49.5,1h 29m,12.8,0.55,20.3,18.067,-11.2,-9.968,64.4,94.0,-1.9,-1.69,0 days 03:01:44
142891993,06/23/2023 16:35,06/23/2023 18:20,NZDCHF,Buy,0.080,0.00000,0.00000,0.54914,0.55097,0.0000,0.0,18.3,16.23,0.4,Buy Baby Termite: NZDCHF,12345.0,98.1,1h 43m,6.8,0.05,18.6,16.554000000000002,-1.0,-0.89,94.9,98.5,-0.3,-0.27,0 days 01:45:37
142880682,06/23/2023 07:45,06/23/2023 16:19,USDCHF,Sell,0.080,0.00000,0.00000,0.89715,0.89533,0.0000,0.0,18.2,16.18,0.4,Sell Baby Termite: USDCHF,12345.0,13.6,1h 9m,42.8,1.83,22.1,19.669,-40.4,-35.956,35.4,93.8,-3.9,-3.47,0 days 08:34:16
142587592,06/09/2023 15:40,06/23/2023 15:33,NZDCHF,Sell,0.070,0.00000,0.00000,0.55128,0.54923,0.0000,0.0,20.5,15.92,0.39,Sell Baby Termite: NZDCHF,12345.0,1.5,5h 2m,85.0,4.02,20.9,16.302,-84.1,-65.598,19.9,99.6,-0.4,-0.31,13 days 23:53:15
142825979,06/21/2023 11:50,06/21/2023 13:30,EURNZD,Sell,0.080,0.00000,0.00000,1.77228,1.76901,0.0000,0.0,32.7,16.07,0.4,Sell Baby Termite: EURNZD,12345.0,67.0,1h 7m,10.6,0.29,36.3,17.787,-10.6,-5.194,77.4,92.3,-3.6,-1.76,0 days 01:40:14
142822519,06/21/2023 08:20,06/21/2023 09:33,EURNZD,Buy,0.080,0.00000,0.00000,1.76535,1.76861,0.0000,0.0,32.6,16.01,0.4,Buy Baby Termite: EURNZD,12345.0,97.3,1h 10m,13.8,0.04,32.6,15.974,-1.4,-0.6859999999999999,95.9,100.0,0.0,0.0,0 days 01:12:54
142724473,06/15/2023 20:15,06/16/2023 17:51,EURUSD,Sell,0.070,0.00000,0.00000,1.09414,1.09189,0.0000,0.0,22.5,15.75,0.4,Sell Baby Termite: EURUSD,12345.0,16.3,3h 31m,30.7,1.13,22.5,15.749999999999998,-25.5,-17.849999999999998,46.9,100.0,0.0,0.0,0 days 21:36:08
142705376,06/15/2023 09:05,06/15/2023 13:30,CADCHF,Sell,0.070,0.00000,0.00000,0.67786,0.67586,0.0000,0.0,20.0,15.47,0.4,Sell Baby Termite: CADCHF,12345.0,48.2,2h 7m,10.1,0.37,21.3,16.401,-7.8,-6.006,73.2,95.5,-1.3,-1.0,0 days 04:25:27
142681672,06/14/2023 18:45,06/14/2023 21:00,EURUSD,Sell,0.210,0.00000,0.00000,1.08566,1.08256,0.0000,0.0,31.0,65.1,1.7,Sell Baby Termite: EURUSD,12345.0,32.6,44m,9.2,0.21,33.9,71.19,-7.1,-14.91,82.7,92.9,-2.9,-6.09,0 days 02:15:55
142606840,06/12/2023 10:30,06/14/2023 21:00,EURUSD,Sell,0.070,0.00000,0.00000,1.07527,1.08249,0.0000,0.0,-72.2,-50.54,-1.31,Sell Baby Termite: EURUSD,12345.0,5.2,3h 2m,118.8,12.99,8.5,5.949999999999999,-110.3,-77.21,7.2,32.1,-80.7,-56.49,2 days 10:30:58
142612505,06/12/2023 15:20,06/14/2023 15:41,CADCHF,Sell,0.210,0.00000,0.00000,0.67908,0.67659,0.0000,0.0,24.9,57.83,1.52,Sell Baby Termite: CADCHF,12345.0,25.0,12h 5m,48.1,0.81,30.8,71.456,-25.0,-57.99999999999999,55.2,89.4,-5.9,-13.69,2 days 00:21:11
142419505,06/01/2023 16:45,06/14/2023 15:41,CADCHF,Sell,0.070,0.00000,0.00000,0.67108,0.67659,0.0000,0.0,-55.1,-43.08,-1.12,Sell Baby Termite: CADCHF,12345.0,0.0,0s,108.2,108.7,0.0,0.0,-108.2,-84.396,0.0,49.1,-55.1,-42.98,12 days 22:56:11
142568673,06/08/2023 18:30,06/09/2023 17:36,EURUSD,Sell,0.070,0.00000,0.00000,1.07777,1.07549,0.0000,0.0,22.8,15.96,0.41,Sell Baby Termite: EURUSD,12345.0,43.0,9h 56m,25.0,0.38,22.9,16.029999999999998,-8.8,-6.16,72.2,99.7,-0.1,-0.07,0 days 23:06:04
142566391,06/08/2023 17:10,06/09/2023 14:12,NZDCHF,Buy,0.240,0.00000,0.00000,0.54825,0.55057,0.0000,0.0,23.2,61.42,1.62,Buy Baby Termite: NZDCHF,12345.0,36.4,7h 39m,16.5,0.39,24.2,64.13,-9.5,-25.175,71.8,97.0,-1.0,-2.65,0 days 21:02:32
